,Name,Address,Rating,latitude,longitude,genera_type,place_id,icon,business_status,type
167,Meyzah ميزة - Mobile App Development Company,"An Naeem Street, جدة",3.9,21.6178557,39.1390175,"['point_of_interest', 'establishment']",ChIJvUGIMhHawxURsun_mTTM-_E,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
170,Ugur,Jeddah,3.9,21.619671,39.1360195,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJPWifqRfawxURSLrlUmws6EY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,OPERATIONAL,restaurant
172,Lion's Share,"عبدالرحمن الداخل, حي النهضة، 6526, جدة",4.2,21.6200167,39.136055,"['restaurant', 'food', 'point_of_interest', 'establishment']",ChIJHfeTpxfawxURFXACAa3JPjI,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,OPERATIONAL,restaurant
173,جادة الإتقان للإستشارات,"Prince Sultan Road, 3rd floor, Office No. 305 - Bin Sulaiman Center, Jeddah",5,21.617226,39.13868,"['point_of_interest', 'establishment']",ChIJB8vIb7DawxURGvHYXXSaH6g,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
176,كوز كرك Kooz Karak,"، حي, شارع عبد الرحمن الداخل, جدة",4,21.6199654,39.1357826,"['restaurant', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']",ChIJzzFHrxfawxUR3qdTy8diB3E,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,OPERATIONAL,restaurant
177,Nahdi pharmacy | صيدليه النهدى,"An Naeem Street, حي النعيم جدة - حى النعيم الجنوبى, Jeddah",3.6,21.6177165,39.14005,"['pharmacy', 'store', 'health', 'point_of_interest', 'establishment']",ChIJdVSmJBHawxUR9hiLpbQ76fc,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,OPERATIONAL,pharmacy
178,Roots Group Arabia Earth Moving and Material Handling Division,"Prince Sultan Road, J48Q+QJM, Jeddah",4.4,21.616967,39.13903270000001,"['point_of_interest', 'establishment']",ChIJWarDSxHawxURhw-M12J7eNA,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,OPERATIONAL,point_of_interest
181,Hayat Heraa Hotel,"Fahd Ibn Zuayr, PO Box: 15630, Jeddah",4,21.6075736,39.13945940000001,"['lodging', 'point_of_interest', 'establishment']",ChIJ7yclbmzawxURtDItAIBfN3k,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,OPERATIONAL,lodging
182,Motyara Furnished Suites,"Prince Sultan Road, J45R+PCX, Prince Sultan Street, Alzahrah District, Jeddah",2.6,21.6093607,39.1411164,"['lodging', 'point_of_interest', 'establishment']",ChIJMdf03mzawxUR5ShBKav_eaU,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,OPERATIONAL,lodging
183,Olayan Suites,"J45Q+XR5, Hira Street, Jeddah",5,21.6098754,39.1396077,"['lodging', 'point_of_interest', 'establishment']",ChIJZxN4vGzawxUR3CHeRNP-FwY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,OPERATIONAL,lodging
184,Mosque Imam Muhammad ibn Abd al-Wahhab,"4166 - حي - 8387, Jeddah",4.8,21.611952,39.1390891,"['mosque', 'place_of_worship', 'point_of_interest', 'establishment']",ChIJWzcvWRPawxURdaevtTDBBSo,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_islam-71.png,OPERATIONAL,mosque
186,Herra Plaza Center,"Hira Street, J46P+4V9, Jeddah",3.8,21.6102778,39.1372222,"['shopping_mall', 'point_of_interest', 'establishment']",ChIJK688PmvawxURqRrEvDgxjFw,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,OPERATIONAL,shopping_mall
